"id","active","ano_id/id","marca_id/id","modelo_id/id","name","motor_productos/id","tipo_id/id"
"__export__.catalogo_motor_vehiculo_4491","True","__export__.catalogo_ano_vehiculo_4033","__export__.catalogo_marca_vehiculo_885","__export__.catalogo_modelo_vehiculo_1874","1.1 y 1.3 LTS GASOLINA","__export__.product_template_34521,__export__.product_template_11195,__export__.product_template_16712,__export__.product_template_11648,__export__.product_template_9367,__export__.product_template_24618,__export__.product_template_11938,__export__.product_template_33440,__export__.product_template_10954","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4224","True","__export__.catalogo_ano_vehiculo_3827","__export__.catalogo_marca_vehiculo_627","__export__.catalogo_modelo_vehiculo_773","1.2 16 VALVULAS","__export__.product_template_16819,__export__.product_template_9326,__export__.product_template_24620,__export__.product_template_33424,__export__.product_template_16752,__export__.product_template_9192,__export__.product_template_10872","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4217","True","__export__.catalogo_ano_vehiculo_3806","__export__.catalogo_marca_vehiculo_611","__export__.catalogo_modelo_vehiculo_1721","1.250 CC","","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4545","True","__export__.catalogo_ano_vehiculo_4078","__export__.catalogo_marca_vehiculo_801","__export__.catalogo_modelo_vehiculo_1902","1.25 LTS. GASOLINA","__export__.product_template_16826,__export__.product_template_16787,__export__.product_template_9326,__export__.product_template_10891,__export__.product_template_24630,__export__.product_template_27636,__export__.product_template_24620","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_898","True","__export__.catalogo_ano_vehiculo_946","__export__.catalogo_marca_vehiculo_643","__export__.catalogo_modelo_vehiculo_784","12 CIL.","__export__.product_template_11177,__export__.product_template_9824","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4354","True","__export__.catalogo_ano_vehiculo_3940","__export__.catalogo_marca_vehiculo_627","__export__.catalogo_modelo_vehiculo_1811","1.2 LTS","__export__.product_template_16819,__export__.product_template_9326,__export__.product_template_24620,__export__.product_template_33424,__export__.product_template_16752,__export__.product_template_9192,__export__.product_template_10872","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4471","True","__export__.catalogo_ano_vehiculo_4023","__export__.catalogo_marca_vehiculo_616","__export__.catalogo_modelo_vehiculo_1869","1.2 LTS","__export__.product_template_8059,__export__.product_template_16743,__export__.product_template_16759,__export__.product_template_24188,__export__.product_template_10977,__export__.product_template_17070,__export__.product_template_24622,__export__.product_template_27538","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4593","True","__export__.catalogo_ano_vehiculo_969","__export__.catalogo_marca_vehiculo_616","__export__.catalogo_modelo_vehiculo_580","1.2 LTS.","__export__.product_template_8059,__export__.product_template_17131,__export__.product_template_17070,__export__.product_template_24622","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4498","True","__export__.catalogo_ano_vehiculo_4038","__export__.catalogo_marca_vehiculo_611","__export__.catalogo_modelo_vehiculo_1878","1.2 LTS.","__export__.product_template_12094,__export__.product_template_14520,__export__.product_template_9327,__export__.product_template_24616,__export__.product_template_9326,__export__.product_template_27256,__export__.product_template_27544,__export__.product_template_24620,__export__.product_template_10885","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4544","True","__export__.catalogo_ano_vehiculo_4077","__export__.catalogo_marca_vehiculo_801","__export__.catalogo_modelo_vehiculo_1901","1.2  LTS GASOLINA","__export__.product_template_16826,__export__.product_template_16787,__export__.product_template_9326,__export__.product_template_10891,__export__.product_template_24630,__export__.product_template_27636,__export__.product_template_24620","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4606","True","__export__.catalogo_ano_vehiculo_4130","__export__.catalogo_marca_vehiculo_616","__export__.catalogo_modelo_vehiculo_1869","1.2 LTS. GASOLINA","__export__.product_template_27298,__export__.product_template_27538,__export__.product_template_16743,__export__.product_template_17070,__export__.product_template_24622,__export__.product_template_8059","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4691","True","__export__.catalogo_ano_vehiculo_4223","__export__.catalogo_marca_vehiculo_616","__export__.catalogo_modelo_vehiculo_1986","1.2 LTS MFI DOHC GMDAT","__export__.product_template_27298,__export__.product_template_24622,__export__.product_template_27538","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4535","True","__export__.catalogo_ano_vehiculo_228","__export__.catalogo_marca_vehiculo_626","__export__.catalogo_modelo_vehiculo_1832","1.2 Y 1.25 LTS","__export__.product_template_11893,__export__.product_template_9326,__export__.product_template_24620","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4239","True","__export__.catalogo_ano_vehiculo_3838","__export__.catalogo_marca_vehiculo_871","__export__.catalogo_modelo_vehiculo_1744","1300 C.C. GASOLINA -","__export__.product_template_34521,__export__.product_template_9230,__export__.product_template_16712,__export__.product_template_11648,__export__.product_template_9367,__export__.product_template_24618,__export__.product_template_10914,__export__.product_template_16753,__export__.product_template_11938,__export__.product_template_33440,__export__.product_template_10954","__export__.catalogo_tipo_vehiculo_10"
"__export__.catalogo_motor_vehiculo_902","True","__export__.catalogo_ano_vehiculo_950","__export__.catalogo_marca_vehiculo_621","__export__.catalogo_modelo_vehiculo_788","1,3L","__export__.product_template_11043,__export__.product_template_11648,__export__.product_template_9367,__export__.product_template_24618,__export__.product_template_10861","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_509","True","__export__.catalogo_ano_vehiculo_537","__export__.catalogo_marca_vehiculo_631","__export__.catalogo_modelo_vehiculo_568","1.3L 4 CIL. CARB","__export__.product_template_8256,__export__.product_template_8055,__export__.product_template_25410","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4568","True","__export__.catalogo_ano_vehiculo_4098","__export__.catalogo_marca_vehiculo_845","__export__.catalogo_modelo_vehiculo_1914","1.3 LTS.","__export__.product_template_12078,__export__.product_template_11648,__export__.product_template_9367,__export__.product_template_24618,__export__.product_template_23935","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4369","True","__export__.catalogo_ano_vehiculo_3954","__export__.catalogo_marca_vehiculo_635","__export__.catalogo_modelo_vehiculo_1820","1.3LTS 16V GASOLINA","__export__.product_template_11109,__export__.product_template_11648,__export__.product_template_9367,__export__.product_template_24618,__export__.product_template_10834","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4296","True","__export__.catalogo_ano_vehiculo_3886","__export__.catalogo_marca_vehiculo_873","__export__.catalogo_modelo_vehiculo_1771","1.3 LTS Y 1.6LTS","","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4600","True","__export__.catalogo_ano_vehiculo_4124","__export__.catalogo_marca_vehiculo_609","__export__.catalogo_modelo_vehiculo_1518","1.4i 16V","__export__.product_template_9329","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_536","True","__export__.catalogo_ano_vehiculo_563","__export__.catalogo_marca_vehiculo_631","__export__.catalogo_modelo_vehiculo_578","1.4L Carb.","__export__.product_template_8256,__export__.product_template_8096,__export__.product_template_8055,__export__.product_template_9351,__export__.product_template_25410,__export__.product_template_8020","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4373","True","__export__.catalogo_ano_vehiculo_3959","__export__.catalogo_marca_vehiculo_616","__export__.catalogo_modelo_vehiculo_1823","1.4LTS","__export__.product_template_8059,__export__.product_template_8275,__export__.product_template_17070,__export__.product_template_24622,__export__.product_template_24626,__export__.product_template_17011,__export__.product_template_12092,__export__.product_template_8274","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4387","True","__export__.catalogo_ano_vehiculo_228","__export__.catalogo_marca_vehiculo_626","__export__.catalogo_modelo_vehiculo_1832","1.4LTS","__export__.product_template_9443,__export__.product_template_9218,__export__.product_template_11147,__export__.product_template_33426,__export__.product_template_16960,__export__.product_template_34430,__export__.product_template_27327","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4515","True","__export__.catalogo_ano_vehiculo_4054","__export__.catalogo_marca_vehiculo_616","__export__.catalogo_modelo_vehiculo_1886","1.4 LTS","__export__.product_template_27298,__export__.product_template_16742,__export__.product_template_10123,__export__.product_template_10906,__export__.product_template_27648","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4493","True","__export__.catalogo_ano_vehiculo_231","__export__.catalogo_marca_vehiculo_635","__export__.catalogo_modelo_vehiculo_1875","1.4 LTS.","__export__.product_template_16739,__export__.product_template_10842","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4586","True","__export__.catalogo_ano_vehiculo_4115","__export__.catalogo_marca_vehiculo_626","__export__.catalogo_modelo_vehiculo_1922","1.4 LTS.","__export__.product_template_16735,__export__.product_template_9443,__export__.product_template_8258,__export__.product_template_9191,__export__.product_template_33426,__export__.product_template_11110,__export__.product_template_10975","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4553","True","__export__.catalogo_ano_vehiculo_4086","__export__.catalogo_marca_vehiculo_616","__export__.catalogo_modelo_vehiculo_1907","1.4 LTS.","__export__.product_template_27298,__export__.product_template_16826,__export__.product_template_9377,__export__.product_template_16966,__export__.product_template_27636,__export__.product_template_33427,__export__.product_template_8028","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4511","True","__export__.catalogo_ano_vehiculo_4030","__export__.catalogo_marca_vehiculo_627","__export__.catalogo_modelo_vehiculo_1873","1.4LTS 8V","__export__.product_template_12055,__export__.product_template_24623,__export__.product_template_24632,__export__.product_template_16789,__export__.product_template_11953,__export__.product_template_33408","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4743","True","__export__.catalogo_ano_vehiculo_4281","__export__.catalogo_marca_vehiculo_616","__export__.catalogo_modelo_vehiculo_1768","1.4 LTS.  FI TURBO","__export__.product_template_27298,__export__.product_template_9336","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_3966","True","__export__.catalogo_ano_vehiculo_3449","__export__.catalogo_marca_vehiculo_627","__export__.catalogo_modelo_vehiculo_1609","1.4 y 1.6 LTS","__export__.product_template_16819,__export__.product_template_12089,__export__.product_template_12055,__export__.product_template_24623,__export__.product_template_24632,__export__.product_template_16789,__export__.product_template_11953,__export__.product_template_33408","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4534","True","__export__.catalogo_ano_vehiculo_4068","__export__.catalogo_marca_vehiculo_611","__export__.catalogo_modelo_vehiculo_1698","1.4 y 1.6 LTS.","__export__.product_template_11155,__export__.product_template_16735,__export__.product_template_9189,__export__.product_template_9443,__export__.product_template_8258,__export__.product_template_9191,__export__.product_template_33426,__export__.product_template_11110,__export__.product_template_10975","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4423","True","__export__.catalogo_ano_vehiculo_3986","__export__.catalogo_marca_vehiculo_626","__export__.catalogo_modelo_vehiculo_1847","1.4 Y 1.6 LTS","__export__.product_template_16735,__export__.product_template_9443,__export__.product_template_8258,__export__.product_template_9191,__export__.product_template_11147,__export__.product_template_33426,__export__.product_template_11110,__export__.product_template_10975,__export__.product_template_27327","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_1458","True","__export__.catalogo_ano_vehiculo_671","__export__.catalogo_marca_vehiculo_611","__export__.catalogo_modelo_vehiculo_1831","1.4 Y 1.6 LTS","__export__.product_template_9443,__export__.product_template_9218,__export__.product_template_11147,__export__.product_template_33426,__export__.product_template_16960,__export__.product_template_34430,__export__.product_template_27327","__export__.catalogo_tipo_vehiculo_9"
