Unnamed: 0,Template,Linea,Cuenta,Referencia,Producto,Variante,Clase,Bodega,Cantidad
8601,10509,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00146125,"G146 FILTRO HIDRAULICO ATLAS COPCO, HOLMAN",125 PT213,C,Ubicaciones físicas / BD1 / Existencias,25.0
8602,10509,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00146125,"G146 FILTRO HIDRAULICO ATLAS COPCO, HOLMAN",125 PT213,C,Physical Locations / BD2 / Existencias,7.0
8603,10510,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE10251125,"G251A FILTROHIDRAULICO VICKERS,IHC,M.FERGUSON",125 PT258,C,Ubicaciones físicas / BD1 / Existencias,15.0
8604,10511,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00755125,G755 FILTRO HIDRAULICO CASE,125 PT268,C,Ubicaciones físicas / BD1 / Existencias,1.0
8605,10512,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00037125,G037 FILTRO HIDRAULICO CASE,125 PT275,C,Ubicaciones físicas / BD1 / Existencias,3.0
8606,10513,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00783125,G783 FILTRO HIDRAULICO MASSEY FERGUSON,125 PT277,C,Ubicaciones físicas / BD1 / Existencias,17.0
8607,10514,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00151125,"G151 FILTRO HIDRAULICO CASE, FORD, J. DEERE.",125 PT288HD,C,Ubicaciones físicas / BD1 / Existencias,3.0
8608,10514,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00151125,"G151 FILTRO HIDRAULICO CASE, FORD, J. DEERE.",125 PT288HD,C,Ubicaciones físicas / BD9 / Existencias,3.0
8609,10514,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00151125,"G151 FILTRO HIDRAULICO CASE, FORD, J. DEERE.",125 PT288HD,C,Physical Locations / BD2 / Existencias,3.0
8610,10515,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00833125,"G883 FILTRO TRANSMISIONES HIDRAULICAS ALLISON,  EUCLID",125 PT319MPG,C,Ubicaciones físicas / BD1 / Existencias,11.0
8611,10516,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00703125,"G703 FILTRO HIDRAULICO VOLVO, MICHIGAN, EUCLIO",125 PT320MPG,C,Ubicaciones físicas / BD8 / Existencias,3.0
8612,10516,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00703125,"G703 FILTRO HIDRAULICO VOLVO, MICHIGAN, EUCLIO",125 PT320MPG,C,Physical Locations / BD5 / Existencias,2.0
8613,10516,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00703125,"G703 FILTRO HIDRAULICO VOLVO, MICHIGAN, EUCLIO",125 PT320MPG,C,Ubicaciones físicas / BD1 / Existencias,21.0
8614,10517,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00660125,G660 FILTROTRANSMISION (G033H) TEREX,125 PT385,C,Ubicaciones físicas / BD7 / Existencias,2.0
8615,10517,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00660125,G660 FILTROTRANSMISION (G033H) TEREX,125 PT385,C,Ubicaciones físicas / BD4 / Existencias,1.0
8616,10517,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00660125,G660 FILTROTRANSMISION (G033H) TEREX,125 PT385,C,Physical Locations / BD2 / Existencias,2.0
8617,10517,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00660125,G660 FILTROTRANSMISION (G033H) TEREX,125 PT385,C,Ubicaciones físicas / BD1 / Existencias,1.0
8618,10518,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00886125,G886 FILTROHIDRAULICO CARGADORES HOUGH H65 Y H80B,125 PT386,C,Ubicaciones físicas / BD1 / Existencias,12.0
8619,10519,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00301125,G301 FILTRO HIDRAULICO JOHN DEERE AR94510,125 PT390MPG,C,Physical Locations / BD2 / Existencias,5.0
8620,10519,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00301125,G301 FILTRO HIDRAULICO JOHN DEERE AR94510,125 PT390MPG,C,Ubicaciones físicas / BD9 / Existencias,3.0
8621,10519,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00301125,G301 FILTRO HIDRAULICO JOHN DEERE AR94510,125 PT390MPG,C,Ubicaciones físicas / BD6 / Existencias,3.0
8622,10519,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00301125,G301 FILTRO HIDRAULICO JOHN DEERE AR94510,125 PT390MPG,C,Ubicaciones físicas / BD4 / Existencias,2.0
8623,10519,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00301125,G301 FILTRO HIDRAULICO JOHN DEERE AR94510,125 PT390MPG,C,Physical Locations / BD3 / Existencias,1.0
8624,10519,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00301125,G301 FILTRO HIDRAULICO JOHN DEERE AR94510,125 PT390MPG,C,Ubicaciones físicas / BD1 / Existencias,11.0
