,store_name,product_ref,año,semana_num,num_facturas,EMA,demanda_ajustada,desviacion_ema%,coef_ventas,producto_costo_unitario
643,0,BAE51059125,0.0,0,0.0,0.0,0.0,0.0,0.0,5321.64
644,0,BAE60880125,0.0,0,0.0,0.0,0.0,0.0,0.0,17508.67
645,0,BAE61032125,0.0,0,0.0,0.0,0.0,0.0,0.0,30013.65
646,0,BAE61047125,0.0,0,0.0,0.0,0.0,0.0,0.0,9649.29
647,0,BAE61048125,0.0,0,0.0,0.0,0.0,0.0,0.0,17983.46
648,0,BAE61049125,0.0,0,0.0,0.0,0.0,0.0,0.0,18234.43
649,0,BAE61050125,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0
650,0,BAE61068125,0.0,0,0.0,0.0,0.0,0.0,0.0,9197.65
651,0,BAE61090125,0.0,0,0.0,0.0,0.0,0.0,0.0,7678.14
652,0,BAJ00127125,0.0,0,0.0,0.0,0.0,0.0,0.0,10035.51
653,SUCURSAL CALLE 6,BAP02020125,2025.0,37,1.0,0.201963,1.0,8430.86,0.0,171279.45
654,0,BAP02694125,0.0,0,0.0,0.0,0.0,0.0,0.0,41439.1
655,SUCURSAL VALLADOLID,BAP02988125,2025.0,37,3.0,2.183799,8.0,0.25,3.5999999999999996,158844.4
656,0,BAP02991125,0.0,0,0.0,0.0,0.0,0.0,0.0,139414.0
657,0,BAP02993125,0.0,0,0.0,0.0,0.0,0.0,0.0,147637.0
658,0,BAP08024125,0.0,0,0.0,0.0,0.0,0.0,0.0,45554.74
659,0,BAP08046125,0.0,0,0.0,0.0,0.0,0.0,0.0,140268.38
660,SUCURSAL CALLE 6,BAP08050125,2025.0,37,1.0,0.602866,1.0,0.43,4.0,396473.98
661,SUCURSAL MEDELLIN,BAP08050125,2025.0,37,1.0,0.200486,1.0,2087.62,0.0,396473.98
662,0,BAP08066125,0.0,0,0.0,0.0,0.0,0.0,0.0,128610.54
663,SUCURSAL BARRANQUILLA,BAP08109125,2025.0,37,1.0,0.313558,1.0,0.76,12.0,116299.03
664,SUCURSAL MEDELLIN,BAP08109125,2025.0,37,1.0,0.764283,2.0,0.43,7.199999999999999,116299.03
665,0,BAP08139125,0.0,0,0.0,0.0,0.0,0.0,0.0,205483.38
666,0,BAP08149125,0.0,0,0.0,0.0,0.0,0.0,0.0,336396.29
667,0,BAP08153125,0.0,0,0.0,0.0,0.0,0.0,0.0,217520.71
668,0,BAP08159125,0.0,0,0.0,0.0,0.0,0.0,0.0,202858.04
669,0,BAP08165125,0.0,0,0.0,0.0,0.0,0.0,0.0,318776.0
670,0,BAP08175125,0.0,0,0.0,0.0,0.0,0.0,0.0,267876.51
671,0,BAP08200125,0.0,0,0.0,0.0,0.0,0.0,0.0,357545.19
672,SUCURSAL BARRANQUILLA,BAP09109125,2025.0,37,1.0,0.596962,1.0,0.62,4.0,79779.67
673,0,BAP12988125,0.0,0,0.0,0.0,0.0,0.0,0.0,226422.5
674,0,BAP18015125,0.0,0,0.0,0.0,0.0,0.0,0.0,158180.0
675,0,BAP18046125,0.0,0,0.0,0.0,0.0,0.0,0.0,155837.5
676,0,BAR02047125,0.0,0,0.0,0.0,0.0,0.0,0.0,29101.12
677,0,BAR02049125,0.0,0,0.0,0.0,0.0,0.0,0.0,29834.97
678,0,BAR02111125,0.0,0,0.0,0.0,0.0,0.0,0.0,68400.0
679,0,BAR02124125,0.0,0,0.0,0.0,0.0,0.0,0.0,66591.0
