,store_name,product_ref,Año,semana,Ema,Costo unitario,Venta costo EMA,Venta costo %,Acumulado costo,Desviacion EMA,Desviacion EMA %,acumulado_cantidad,coef_ventas,acumulado_desviacion,acumulado_desviacion_p,acumulado_combinado,Clasificacion,Nivel de servicio
7454,PRINCIPAL COTA,BCS10417125,2025.0,39,0.270722,43868.31,11876.12,0.0013,0.81,6650.6,0.56,0.82,8.0,658598.3,1.0,0.82,B,0.95
8355,PRINCIPAL COTA,BHE00699125,2025.0,39,0.26925,196989.5,53039.42,0.0058,0.3672,40310.0,0.76,0.82,12.0,658599.06,1.0,0.68,A,0.98
11893,PRINCIPAL COTA,BLS00419125,2025.0,39,0.268692,25234.1,6780.2,0.0007,0.8981,2237.5,0.33,0.83,6.0,658599.39,1.0,0.85,B,0.95
13976,PRINCIPAL COTA,DAB04805025,2025.0,39,0.268105,10992.23,2947.07,0.0003,0.9648,943.1,0.32,0.83,4.8,658599.71,1.0,0.87,B,0.95
23136,PRINCIPAL COTA,DAX00392189,2025.0,39,0.267729,13519.0,3619.43,0.0004,0.952,2750.8,0.76,0.83,12.0,658600.47,1.0,0.87,B,0.95
6167,PRINCIPAL COTA,BCS00384125,2025.0,39,0.266147,28589.79,7609.09,0.0008,0.8807,2054.5,0.27,0.83,4.8,658600.74,1.0,0.84,B,0.95
16184,PRINCIPAL COTA,DAC00037189,2025.0,39,0.265698,5315.94,1412.43,0.0002,0.989,875.7,0.62,0.83,6.0,658601.36,1.0,0.88,B,0.95
25057,PRINCIPAL COTA,DCE20126138,2025.0,39,0.262499,33947.06,8911.07,0.001,0.8571,7039.7,0.79,0.83,6.0,658602.15,1.0,0.84,B,0.95
22070,PRINCIPAL COTA,DAR02695025,2025.0,39,0.261969,33710.44,8831.09,0.001,0.8601,24020.6,2.72,0.83,8.0,658604.87,1.0,0.84,B,0.95
4726,PRINCIPAL COTA,BCE00716125,2025.0,39,0.261666,24176.47,6326.16,0.0007,0.9044,2214.2,0.35,0.83,6.0,658605.22,1.0,0.85,B,0.95
