,store_name,product_ref,año,Semana,semana_num,num_facturas,EMA,demanda_ajustada,desviacion_ema%,coef_ventas,producto_costo_unitario
137,PRINCIPAL COTA,AHG85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,92806.88
138,SUCURSAL BARRANQUILLA,AHG85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,92806.88
139,SUCURSAL BUCARAMANGA,AHG85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,92806.88
140,SUCURSAL CALI,AHG85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,92806.88
141,SUCURSAL CALLE 6,AHG85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.003702,0.0,15899.27,0.0,92806.88
142,SUCURSAL MEDELLIN,AHG85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,92806.88
143,SUCURSAL NORTE,AHG85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,92806.88
144,SUCURSAL VALLADOLID,AHG85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.000101,0.0,435.67,0.0,92806.88
145,PRINCIPAL COTA,AHQ80W90030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,22593.26
146,SUCURSAL BARRANQUILLA,AHQ80W90030,2025.0,2025-09-09 00:00:00,37,0.0,1.5e-05,0.0,66.43,0.0,22593.26
147,SUCURSAL BUCARAMANGA,AHQ80W90030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,22593.26
148,SUCURSAL CALI,AHQ80W90030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,22593.26
149,SUCURSAL CALLE 6,AHQ80W90030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,22593.26
150,SUCURSAL MEDELLIN,AHQ80W90030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,22593.26
151,SUCURSAL NORTE,AHQ80W90030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,22593.26
152,SUCURSAL VALLADOLID,AHQ80W90030,2025.0,2025-09-09 00:00:00,37,0.0,0.17495,0.0,0.75,12.0,22593.26
153,PRINCIPAL COTA,AHQ80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.005629,0.0,24173.7,0.0,21741.5
154,SUCURSAL BARRANQUILLA,AHQ80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,21741.5
155,SUCURSAL BUCARAMANGA,AHQ80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,21741.5
