,store_name,product_ref,año,semana_num,EMA,demanda_ajustada,producto_costo_unitario
223869,PRINCIPAL COTA,BAB02663125,2025.0,36,0.0,0.0,45353.89
223922,PRINCIPAL COTA,BAB02666125,2025.0,36,0.0,0.0,21508.32
224346,PRINCIPAL COTA,BAB02772125,2025.0,36,0.0,0.0,22808.28
225406,PRINCIPAL COTA,BAB02986125,2025.0,36,0.0,0.0,21364.41
226042,PRINCIPAL COTA,BAB04666125,2025.0,36,0.0,0.0,9168.06
226519,PRINCIPAL COTA,BAB04852125,2025.0,36,0.0,0.0,57785.99
226678,PRINCIPAL COTA,BAB04873125,2025.0,36,0.0,0.0,103511.0
229593,PRINCIPAL COTA,BAB08211125,2025.0,36,0.0,0.0,172760.0
230388,PRINCIPAL COTA,BAB09086125,2025.0,36,0.0,0.0,54896.0
230600,PRINCIPAL COTA,BAB09144125,2025.0,36,0.0,0.0,60835.0
231872,PRINCIPAL COTA,BAC00083125,2025.0,36,0.0,0.0,74394.39
234310,PRINCIPAL COTA,BAC00171125,2025.0,36,0.0,0.0,33144.0
238497,PRINCIPAL COTA,BAE02117125,2025.0,36,0.0,0.0,50232.38
238550,PRINCIPAL COTA,BAE02122125,2025.0,36,0.0,0.0,76344.49
240299,PRINCIPAL COTA,BAE02506125,2025.0,36,0.0,0.0,66886.11
240405,PRINCIPAL COTA,BAE02518125,2025.0,36,0.0,0.0,76283.55
242472,PRINCIPAL COTA,BAE04109125,2025.0,36,0.0,0.0,21161.15
243585,PRINCIPAL COTA,BAE04524125,2025.0,36,0.0,0.0,78293.0
243850,PRINCIPAL COTA,BAE04736125,2025.0,36,0.0,0.0,82043.17
244645,PRINCIPAL COTA,BAE06237125,2025.0,36,0.0,0.0,178804.47
248885,PRINCIPAL COTA,BAE12047125,2025.0,36,0.0,0.0,1.0
250793,PRINCIPAL COTA,BAR02047125,2025.0,36,0.0,0.0,29101.12
250899,PRINCIPAL COTA,BAR02111125,2025.0,36,0.0,0.0,68400.0
251482,PRINCIPAL COTA,BAR03068125,2025.0,36,0.0,0.0,27668.11
255298,PRINCIPAL COTA,BCE00336125,2025.0,36,0.0,0.0,8486.09
255669,PRINCIPAL COTA,BCE00502125,2025.0,36,0.0,0.0,18695.98
257524,PRINCIPAL COTA,BCE00775125,2025.0,36,0.0,0.0,74086.0
258425,PRINCIPAL COTA,BCE00863125,2025.0,36,0.0,0.0,82477.92
259114,PRINCIPAL COTA,BCE00940125,2025.0,36,0.0,0.0,20300.58
259538,PRINCIPAL COTA,BCE00987125,2025.0,36,0.0,0.0,59390.38
259750,PRINCIPAL COTA,BCE01000125,2025.0,36,0.0,0.0,79575.3
259909,PRINCIPAL COTA,BCE01040125,2025.0,36,0.0,0.0,55924.0
260545,PRINCIPAL COTA,BCE10775125,2025.0,36,0.0,0.0,10347.94
260863,PRINCIPAL COTA,BCE10987125,2025.0,36,0.0,0.0,181509.0
261393,PRINCIPAL COTA,BCS00007125,2025.0,36,0.0,0.0,16846.67
261711,PRINCIPAL COTA,BCS00019125,2025.0,36,0.0,0.0,22450.09
261817,PRINCIPAL COTA,BCS00026125,2025.0,36,0.0,0.0,36527.33
262453,PRINCIPAL COTA,BCS00063125,2025.0,36,0.0,0.0,19306.08
262506,PRINCIPAL COTA,BCS00064125,2025.0,36,0.0,0.0,22210.18
262559,PRINCIPAL COTA,BCS00065125,2025.0,36,0.0,0.0,19125.12
264096,PRINCIPAL COTA,BCS00216125,2025.0,36,0.0,0.0,60156.83
264997,PRINCIPAL COTA,BCS00273125,2025.0,36,0.0,0.0,46034.26
265633,PRINCIPAL COTA,BCS00306125,2025.0,36,0.0,0.0,52261.13
265898,PRINCIPAL COTA,BCS00318125,2025.0,36,0.0,0.0,31437.08
266004,PRINCIPAL COTA,BCS00329125,2025.0,36,0.0,0.0,32553.9
266269,PRINCIPAL COTA,BCS00339125,2025.0,36,0.0,0.0,49681.14
266481,PRINCIPAL COTA,BCS00347125,2025.0,36,0.0,0.0,27086.06
266534,PRINCIPAL COTA,BCS00348125,2025.0,36,0.0,0.0,36935.74
267064,PRINCIPAL COTA,BCS00387125,2025.0,36,0.0,0.0,52872.88
268124,PRINCIPAL COTA,BCS00462125,2025.0,36,0.0,0.0,109340.45
269237,PRINCIPAL COTA,BCS00533125,2025.0,36,0.0,0.0,75643.81
269396,PRINCIPAL COTA,BCS00536125,2025.0,36,0.0,0.0,71469.64
270085,PRINCIPAL COTA,BCS00564125,2025.0,36,0.0,0.0,179846.05
271039,PRINCIPAL COTA,BCS00605125,2025.0,36,0.0,0.0,143934.47
271728,PRINCIPAL COTA,BCS00650125,2025.0,36,0.0,0.0,91183.36
273583,PRINCIPAL COTA,BCS00746125,2025.0,36,0.0,0.0,144342.21
273901,PRINCIPAL COTA,BCS00763125,2025.0,36,0.0,0.0,61133.0
276127,PRINCIPAL COTA,BCS10450125,2025.0,36,0.0,0.0,79244.01
276551,PRINCIPAL COTA,BCS10661125,2025.0,36,0.0,0.0,53934.26
276763,PRINCIPAL COTA,BCS20364125,2025.0,36,0.0,0.0,43200.0
279148,PRINCIPAL COTA,BHE00063125,2025.0,36,0.0,0.0,30785.11
280420,PRINCIPAL COTA,BHE00204125,2025.0,36,0.0,0.0,169967.56
285879,PRINCIPAL COTA,BHE00860125,2025.0,36,0.0,0.0,124425.59
289642,PRINCIPAL COTA,BHS00067125,2025.0,36,0.0,0.0,24966.99
290543,PRINCIPAL COTA,BHS00150125,2025.0,36,0.0,0.0,15843.24
291179,PRINCIPAL COTA,BHS00255125,2025.0,36,0.0,0.0,37958.59
291815,PRINCIPAL COTA,BHS00327125,2025.0,36,0.0,0.0,170029.53
291921,PRINCIPAL COTA,BHS00335125,2025.0,36,0.0,0.0,129884.74
292239,PRINCIPAL COTA,BHS00391125,2025.0,36,0.0,0.0,54844.63
292769,PRINCIPAL COTA,BHS00409125,2025.0,36,0.0,0.0,184944.82
293776,PRINCIPAL COTA,BHS00504125,2025.0,36,0.0,0.0,26643.13
294253,PRINCIPAL COTA,BHS00551125,2025.0,36,0.0,0.0,100494.41
295207,PRINCIPAL COTA,BHS00616125,2025.0,36,0.0,0.0,59492.41
295313,PRINCIPAL COTA,BHS00620125,2025.0,36,0.0,0.0,18297.13
295366,PRINCIPAL COTA,BHS00630125,2025.0,36,0.0,0.0,74185.94
295578,PRINCIPAL COTA,BHS00643125,2025.0,36,0.0,0.0,105248.85
302680,PRINCIPAL COTA,BLS00032125,2025.0,36,0.0,0.0,25376.0
305277,PRINCIPAL COTA,BLS00154125,2025.0,36,0.0,0.0,14046.07
