,store_name,product_ref,año,Semana,semana_num,num_facturas,EMA,demanda_ajustada,desviacion_ema%,coef_ventas,lost_sales,producto_costo_unitario
82,SUCURSAL CALLE 6,AHG80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,82650.48
83,SUCURSAL MEDELLIN,AHG80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,82650.48
84,SUCURSAL NORTE,AHG80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,82650.48
85,SUCURSAL VALLADOLID,AHG80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.023305,0.0,1.26,23.0,0.0,82650.48
86,PRINCIPAL COTA,AHG80W90050,2025.0,2025-09-23 00:00:00,39,0.0,0.014196,0.0,1.33,23.0,0.0,85951.89
87,SUCURSAL BARRANQUILLA,AHG80W90050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,85951.89
88,SUCURSAL BUCARAMANGA,AHG80W90050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,85951.89
89,SUCURSAL CALI,AHG80W90050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,85951.89
90,SUCURSAL CALLE 6,AHG80W90050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,85951.89
91,SUCURSAL MEDELLIN,AHG80W90050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,85951.89
92,SUCURSAL NORTE,AHG80W90050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,85951.89
93,SUCURSAL VALLADOLID,AHG80W90050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,85951.89
94,0,AHG85W14030,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,92209.36
95,PRINCIPAL COTA,AHG85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,92806.88
96,SUCURSAL BARRANQUILLA,AHG85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,92806.88
97,SUCURSAL BUCARAMANGA,AHG85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,92806.88
98,SUCURSAL CALI,AHG85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,92806.88
99,SUCURSAL CALLE 6,AHG85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.002502,0.0,1.34,23.0,0.0,92806.88
100,SUCURSAL MEDELLIN,AHG85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,92806.88
101,SUCURSAL NORTE,AHG85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,92806.88
102,SUCURSAL VALLADOLID,AHG85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,92806.88
103,PRINCIPAL COTA,AHQ80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,22593.26
104,SUCURSAL BARRANQUILLA,AHQ80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,22593.26
105,SUCURSAL BUCARAMANGA,AHQ80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,22593.26
106,SUCURSAL CALI,AHQ80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,22593.26
107,SUCURSAL CALLE 6,AHQ80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,22593.26
108,SUCURSAL MEDELLIN,AHQ80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,22593.26
109,SUCURSAL NORTE,AHQ80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,22593.26
110,SUCURSAL VALLADOLID,AHQ80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.111525,0.0,1.25,23.0,0.0,22593.26
111,PRINCIPAL COTA,AHQ80W90050,2025.0,2025-09-23 00:00:00,39,0.0,0.0038,0.0,1.29,23.0,0.0,21741.5
112,SUCURSAL BARRANQUILLA,AHQ80W90050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,21741.5
113,SUCURSAL BUCARAMANGA,AHQ80W90050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,21741.5
114,SUCURSAL CALI,AHQ80W90050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,21741.5
